Year,Reporter,Reporter Code,Partner,Partner Code,Commodity Code,Export,Import,World Exports,World Imports,Reporter_std,Partner_std,RTA_Name,Date of Entry into Force (G),Original signatories,Coverage,RTA Composition,Signatory1,Signatory2,Signatory1_std,Signatory2_std,Agreement Year,Total Partner Trade,Total World Trade,Agreement_Index,key,country,date,GDP,country_std,key_un
2000.0,Albania,8.0,Bulgaria,100.0,TOTAL,80927.0,25911926.0,261475781.0,1089467879.0,Albania,Bulgaria,Albania - Bulgaria,2003-09-01,Albania; Bulgaria,Goods,Bilateral,Albania,Bulgaria,Albania,Bulgaria,2003.0,25992853.0,1350943660.0,-3.0,Albania-Bulgaria,Albania,2000,3480355258.04122,Albania,Albania-Bulgaria
2000.0,Albania,8.0,Croatia,191.0,TOTAL,1481985.0,12883930.0,261475781.0,1089467879.0,Albania,Croatia,Croatia - Albania ,2003-06-01,Albania; Croatia,Goods,Bilateral,Albania,Croatia,Albania,Croatia,2003.0,14365915.0,1350943660.0,-3.0,Albania-Croatia,Albania,2000,3480355258.04122,Albania,Albania-Croatia
2000.0,Albania,8.0,North Macedonia,807.0,TOTAL,2421380.0,23711755.0,261475781.0,1089467879.0,Albania,North Macedonia,Albania - North Macedonia,2002-07-01,Albania; North Macedonia,Goods,Bilateral,Albania,North Macedonia,Albania,North Macedonia,2002.0,26133135.0,1350943660.0,-2.0,Albania-North Macedonia,Albania,2000,3480355258.04122,Albania,Albania-North Macedonia
2000.0,Albania,8.0,Romania,642.0,TOTAL,4029.0,6004731.0,261475781.0,1089467879.0,Albania,Romania,Albania - Romania,2004-01-01,Albania; Romania,Goods,Bilateral,Albania,Romania,Albania,Romania,2004.0,6008760.0,1350943660.0,-4.0,Albania-Romania,Albania,2000,3480355258.04122,Albania,Albania-Romania
2000.0,Albania,8.0,Turkey,792.0,TOTAL,1759843.0,58281565.0,261475781.0,1089467879.0,Albania,Türkiye,Türkiye - Albania,2008-05-01,Albania; Türkiye,Goods,Bilateral,Albania,Türkiye,Albania,Türkiye,2008.0,60041408.0,1350943660.0,-8.0,Albania-Türkiye,Albania,2000,3480355258.04122,Albania,Albania-Turkey
2000.0,Armenia,51.0,Kazakhstan,398.0,TOTAL,1261479.0,817277.0,294102939.0,840307429.0,Armenia,Kazakhstan,Armenia - Kazakhstan,2001-12-25,Armenia; Kazakhstan,Goods,Bilateral,Armenia,Kazakhstan,Armenia,Kazakhstan,2001.0,2078756.0,1134410368.0,-1.0,Armenia-Kazakhstan,Armenia,2000,1911563668.85006,Armenia,Armenia-Kazakhstan
2000.0,Australia,36.0,Chile,152.0,TOTAL,87035742.0,54178048.0,63766334251.0,71555125639.0,Australia,Chile,Australia - Chile,2009-03-06,Australia; Chile,Goods & Services,Bilateral,Australia,Chile,Australia,Chile,2009.0,141213790.0,135321459890.0,-9.0,Australia-Chile,Australia,2000,415851284305.721,Australia,Australia-Chile
2000.0,Australia,36.0,China,156.0,TOTAL,3474454840.0,5568963786.0,63766334251.0,71555125639.0,Australia,China,Australia - China,2015-12-20,Australia; China,Goods & Services,Bilateral,Australia,China,Australia,China,2015.0,9043418626.0,135321459890.0,-15.0,Australia-China,Australia,2000,415851284305.721,Australia,Australia-China
2000.0,Australia,36.0,Japan,392.0,TOTAL,12600200044.0,9413281646.0,63766334251.0,71555125639.0,Australia,Japan,Japan - Australia ,2015-01-15,Australia; Japan,Goods & Services,Bilateral,Australia,Japan,Australia,Japan,2015.0,22013481690.0,135321459890.0,-15.0,Australia-Japan,Australia,2000,415851284305.721,Australia,Australia-Japan
2000.0,Australia,36.0,Malaysia,458.0,TOTAL,1366546748.0,2590675807.0,63766334251.0,71555125639.0,Australia,Malaysia,Malaysia - Australia,2013-01-01,Australia; Malaysia,Goods & Services,Bilateral,Australia,Malaysia,Australia,Malaysia,2013.0,3957222555.0,135321459890.0,-13.0,Australia-Malaysia,Australia,2000,415851284305.721,Australia,Australia-Malaysia
